Room,Time,Outdoor,Indoor1,Indoor2,Indoor3,Occupancy,Aduts,1 to 5 year old,Less than 1 year old
A,1899-12-31T09:40:00Z,398,408,425,505,44,37,6,1
NA,1899-12-31T10:00:00Z,373,422,428,483,40,32,6,2
NA,1899-12-31T10:21:00Z,403,438,449,464,34,26,7,1
NA,1899-12-31T10:40:00Z,403,416,436,456,37,29,6,2
NA,1899-12-31T11:03:00Z,401,401,420,432,22,19,2,1
NA,1899-12-31T11:25:00Z,411,401,399,403,9,7,1,1
NA,1899-12-31T11:50:00Z,406,400,397,396,6,6,0,0
NA,1899-12-31T12:09:00Z,409,402,402,402,4,4,0,0
NA,1899-12-31T12:34:00Z,398,392,396,398,1,1,0,0
NA,1899-12-31T12:50:00Z,399,400,400,401,3,2,1,0
